5.2	-14.013
5.202	-10.606
5.204	-12.903
5.206	-14.427
5.208	-11.44
5.21	-11.315
5.212	-11.732
5.214	-10.781
5.216	-12.023
5.218	-11.571
5.22	-14.744
5.222	-13.086
5.224	-14.109
5.226	-14.442
5.228	-12.439
5.23	-10.719
5.232	-11.967
5.234	-13.728
5.236	-16.071
5.238	-8.6191
5.24	-14.268
5.242	-12.31
5.244	-12.256
5.246	-11.479
5.248	-13.706
5.25	-9.3025
5.252	-13.961
5.254	-14.707
5.256	-13.001
5.258	-9.2271
5.26	-17.172
5.262	-19.734
5.264	-16.775
5.266	-13.421
5.268	-15.773
5.27	-17.68
5.272	-11.7
5.274	-14.822
5.276	-11.99
5.278	-12.157
5.28	-14.107
5.282	-14.876
5.284	-13.331
5.286	-11.597
5.288	-18.66
5.29	-19.994
5.292	-14.183
5.294	-11.441
5.296	-12.824
5.298	-15.672
5.3	-11.941
5.302	-14.263
5.304	-12.292
5.306	-13.241
5.308	-13.489
5.31	-10.977
5.312	-10.741
5.314	-12.536
5.316	-15.001
5.318	-12.757
5.32	-10.948
5.322	-13.191
5.324	-12.007
5.326	-11.783
5.328	-11.494
5.33	-15.275
5.332	-12.773
5.334	-12.292
5.336	-12.706
5.338	-11.69
5.34	-16.332
5.342	-14.268
5.344	-13.355
5.346	-10.697
5.348	-10.534
5.35	-15.744
5.352	-11.299
5.354	-12.205
5.356	-12.781
5.358	-12.531
5.36	-12.508
5.362	-12.455
5.364	-14.259
5.366	-16.73
5.368	-10.418
5.37	-10.318
5.372	-17.404
5.374	-12.381
5.376	-12.094
5.378	-14.183
5.38	-14.535
5.382	-14.624
5.384	-14.362
5.386	-11.962
5.388	-14.686
5.39	-13.752
5.392	-14.323
5.394	-14.003
5.396	-13.625
5.398	-14.8
5.4	-11.536
5.402	-17.182
5.404	-17.156
5.406	-10.532
5.408	-17.473
5.41	-12.851
5.412	-12.629
5.414	-12.92
5.416	-17.868
5.418	-11.242
5.42	-14.011
5.422	-15.674
5.424	-14.087
5.426	-12.509
5.428	-14.591
5.43	-14.638
5.432	-14.458
5.434	-15.22
5.436	-17.274
5.438	-11.484
5.44	-11.39
5.442	-19.017
5.444	-13.261
5.446	-11.615
5.448	-17.062
